Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Total_Amt_Chng_Q4_Q1,Total_Revolving_Bal,Credit_Limit,Months_on_book,Total_Relationship_Count,Avg_Utilization_Ratio,Contacts_Count_12_mon,Months_Inactive_12_mon,Dependent_count,Cluster,Attrition_Flag
1144,42,1.625,1.335,777,12691.0,39,5,0.061,3,1,3,5,Existing Customer
1291,33,3.714,1.541,864,8256.0,44,6,0.105,2,1,5,5,Existing Customer
1887,20,2.333,2.594,0,3418.0,36,4,0.0,0,1,3,5,Existing Customer
1171,20,2.333,1.405,2517,3313.0,34,3,0.76,1,4,4,2,Existing Customer
816,28,2.5,2.175,0,4716.0,21,5,0.0,0,1,3,5,Existing Customer
1088,24,0.846,1.376,1247,4010.0,36,3,0.311,2,1,2,0,Existing Customer
1330,31,0.722,1.975,2264,34516.0,46,6,0.066,3,1,4,4,Existing Customer
1538,36,0.714,2.204,1396,29081.0,27,2,0.048,2,2,0,4,Existing Customer
1350,24,1.182,3.355,2517,22352.0,36,5,0.113,0,2,3,4,Existing Customer
1441,32,0.882,1.524,1677,11656.0,36,6,0.144,3,3,2,0,Existing Customer
1201,42,0.68,0.831,1467,6748.0,31,5,0.217,2,3,5,2,Existing Customer
1314,26,1.364,1.433,1587,9095.0,54,6,0.174,3,2,1,0,Existing Customer
1539,17,3.25,3.397,0,11751.0,36,3,0.0,0,6,1,5,Existing Customer
1311,33,2.0,1.163,1666,8547.0,30,5,0.195,3,1,3,2,Existing Customer
1570,29,0.611,1.19,680,2436.0,48,5,0.279,2,2,2,0,Existing Customer
1348,27,1.7,1.707,972,4234.0,37,5,0.23,2,1,4,5,Existing Customer
1671,27,0.929,1.708,2362,30367.0,36,6,0.078,3,2,4,4,Existing Customer
1028,21,1.625,0.653,1291,13535.0,34,4,0.095,1,4,3,4,Existing Customer
1336,30,1.143,1.831,2517,3193.0,56,2,0.788,3,2,1,0,Existing Customer
1207,21,0.909,0.966,1157,14470.0,37,6,0.08,2,1,2,4,Existing Customer
1178,27,0.929,0.906,1800,20979.0,42,5,0.086,0,2,1,4,Existing Customer
692,16,0.6,1.047,0,1438.3,49,2,0.0,3,3,0,3,Attrited Customer
931,18,1.571,1.608,680,4470.0,33,4,0.152,1,2,3,5,Existing Customer
1126,23,0.353,0.573,1560,2492.0,36,3,0.626,2,3,4,3,Existing Customer
1110,21,0.75,1.075,0,12217.0,42,4,0.0,3,2,2,3,Existing Customer
1051,22,0.833,0.797,1669,7768.0,28,6,0.215,2,1,3,2,Existing Customer
1197,23,1.3,0.921,1374,14784.0,46,4,0.093,2,1,1,0,Existing Customer
1904,40,1.0,0.843,1010,10215.0,56,3,0.099,2,3,1,0,Existing Customer
1052,18,1.571,0.525,0,10100.0,34,5,0.0,2,2,3,5,Existing Customer
1045,38,0.9,0.739,1362,4785.0,42,6,0.285,0,0,4,2,Existing Customer
1038,25,2.571,0.977,1811,2753.0,33,3,0.658,3,2,3,2,Existing Customer
1596,26,1.6,1.323,1690,2451.0,48,2,0.69,1,5,2,0,Existing Customer
1589,24,1.667,1.726,2517,8923.0,36,4,0.282,2,1,4,2,Existing Customer
1411,28,1.0,1.75,1490,2650.0,38,5,0.562,3,2,2,0,Existing Customer
1291,24,0.714,0.519,1696,12555.0,49,6,0.135,2,2,0,0,Existing Customer
1407,43,0.483,0.51,1914,3520.0,36,4,0.544,1,2,1,0,Existing Customer
1877,37,1.176,1.724,2298,3035.0,36,6,0.757,3,2,3,2,Existing Customer
966,22,1.2,0.865,0,15433.0,36,2,0.0,3,3,4,5,Existing Customer
1464,28,0.556,1.32,886,3672.0,49,3,0.241,2,3,1,0,Existing Customer
704,16,0.143,1.052,605,7882.0,56,5,0.077,3,4,0,3,Attrited Customer
1109,28,0.474,1.042,578,32426.0,41,2,0.018,2,2,3,4,Existing Customer
1347,28,0.556,0.803,2204,6205.0,44,4,0.355,0,1,2,0,Existing Customer
1756,33,1.2,1.449,2517,17304.0,43,3,0.145,3,2,1,0,Existing Customer
1756,32,1.0,1.214,0,3906.0,37,5,0.0,1,2,3,5,Existing Customer
1042,23,0.917,0.977,2055,9830.0,28,2,0.209,3,3,4,2,Existing Customer
1444,28,1.333,1.621,0,34516.0,30,3,0.0,3,2,4,4,Existing Customer
1741,27,0.588,2.316,1430,2283.0,45,6,0.626,0,2,2,0,Existing Customer
1719,27,1.7,2.357,2020,2548.0,52,3,0.793,2,2,1,0,Existing Customer
1217,27,0.8,0.787,1435,19458.0,40,4,0.074,3,3,3,4,Existing Customer
1140,40,0.6,0.624,1227,4745.0,40,5,0.259,1,1,1,0,Existing Customer
1878,30,1.143,1.321,1549,2622.0,41,6,0.591,2,3,3,0,Existing Customer
705,19,0.9,0.997,808,1438.3,40,2,0.562,1,3,1,0,Attrited Customer
1946,38,1.923,1.224,2179,3171.0,54,3,0.687,2,4,0,0,Existing Customer
1414,35,0.25,0.664,2517,19763.0,36,4,0.127,0,2,2,4,Existing Customer
